,Team,Off Turnovers,Passing Yards,Rushing Yards,Def Turnovers,Passing Yards All,Rushing Yards All,QBR
2,Arizona Cardinals,24,4616,1917,28,3976,1477,76.4
21,Atlanta Falcons,30,4379,1606,20,3786,2005,64.1
25,Baltimore Ravens,28,4271,1478,25,4114,1952,50.8
12,Buffalo Bills,19,3343,2432,22,3642,1905,66.3
1,Carolina Panthers,19,3589,2282,23,3364,1304,61.4
23,Chicago Bears,21,3663,1854,19,3789,1808,61
7,Cincinnati Bengals,17,3923,1805,33,3687,1460,72.5
30,Cleveland Browns,30,3782,1529,28,4783,1942,52.9
31,Dallas Cowboys,33,3471,1890,18,4291,1709,50.5
19,Denver Broncos,31,3970,1718,16,4000,2019,54.9
18,Detroit Lions,24,4212,1335,12,4179,2020,58.3
15,Green Bay Packers,17,3503,1850,25,3972,1730,60
22,Houston Texans,20,3833,1731,25,4140,1678,52.8
24,Indianapolis Colts,30,3704,1438,14,3737,1661,52.4
14,Jacksonville Jaguars,28,4108,1473,23,3882,1680,51.4
9,Kansas City Chiefs,15,3255,2044,30,3763,1335,61.1
27,Miami Dolphins,19,3811,1496,19,3678,1797,57.3
16,Minnesota Vikings,17,2928,2211,11,3636,1931,28.9
3,New England Patriots,14,4587,1404,29,3698,1571,45.6
8,New Orleans Saints,20,4970,1491,25,3366,1597,57.7
6,New York Giants,21,4347,1609,39,3752,1415,68.4
11,New York Jets,24,4057,1868,30,4350,1459,66.8
17,Oakland Raiders,24,3879,1457,27,4128,1962,57.9
13,Philadelphia Eagles,31,4087,1743,26,4065,1820,62
5,Pittsburgh Steelers,28,4603,1724,22,3762,1748,43.1
26,San Diego Chargers,24,4591,1358,23,3840,1606,39.2
32,San Francisco 49ers,17,3316,1544,22,4544,2071,72.8
4,Seattle Seahawks,16,3790,2268,27,3193,1337,43.7
29,St. Louis Rams,22,2805,1956,21,4012,2055,68.6
20,Tampa Bay Buccaneers,28,3852,2162,17,3593,1934,57.2
28,Tennessee Titans,33,3503,1485,26,4273,2153,48.4
10,Washington Redskins,22,4095,1566,21,3852,1578,67.8
