,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,home score,visiting score,Win Binary,Year
0,23,4275,1570,27,2867,1839,63.6,18,4653,1573,26,3805,1630,44.5,18.0,12.0,1.0,2018
0,24,4007,1893,30,3780,1957,33.2,26,5008,1445,20,3646,1693,51.2,21.0,21.0,0.5,2018
0,20,4036,1493,23,3847,1804,46.5,32,3867,1902,31,4125,2163,59.5,24.0,16.0,1.0,2018
0,24,4461,1718,17,3113,1870,53.2,17,3290,1682,15,3697,1538,67.8,23.0,34.0,0.0,2018
0,20,3558,2441,28,3929,1913,61.8,32,2794,1984,18,4414,2204,66.2,47.0,3.0,1.0,2018
0,19,4047,1650,14,3599,1761,80.3,29,3109,1723,17,4151,1983,53.2,15.0,20.0,0.0,2018
0,16,4042,2025,17,3471,1863,54.8,35,5125,1523,17,4308,1551,58.0,40.0,48.0,0.0,2018
0,18,4258,2037,29,4167,1323,49.8,16,3781,2021,26,3842,1811,51.3,27.0,20.0,1.0,2018
0,23,2900,1738,16,3262,2479,62.0,18,2975,2027,28,3932,2325,69.6,27.0,20.0,1.0,2018
0,19,4089,1873,28,3943,1803,59.4,18,4955,1855,36,3515,1280,24.1,28.0,38.0,0.0,2018
0,21,3695,1907,27,4374,2114,49.1,11,3093,2560,20,3755,1513,71.0,27.0,24.0,1.0,2018
0,22,3836,2136,26,3794,1860,43.4,17,3538,1963,15,3752,1918,68.4,16.0,8.0,1.0,2018
0,28,2523,1342,17,3853,2249,46.9,19,3021,1774,20,4065,2021,63.3,6.0,24.0,0.0,2018
0,15,4238,1667,24,4302,1283,69.6,24,3564,1938,20,3140,1815,55.2,24.0,23.0,1.0,2018
0,19,3576,1660,19,4153,1999,45.9,30,3165,1622,21,4044,1898,79.2,17.0,48.0,0.0,2018
0,24,3751,1628,7,3732,1814,51.7,19,4507,2231,17,3360,1327,65.7,13.0,33.0,0.0,2018
0,17,3290,1682,15,3697,1538,67.8,20,3558,2441,28,3929,1913,61.8,34.0,23.0,1.0,2018
0,19,3021,1774,20,4065,2021,63.3,24,4461,1718,17,3113,1870,53.2,9.0,21.0,0.0,2018
0,18,4653,1573,26,3805,1630,44.5,22,3836,2136,26,3794,1860,43.4,31.0,24.0,1.0,2018
0,15,4238,1667,24,4302,1283,69.6,20,4036,1493,23,3847,1804,46.5,29.0,29.0,0.5,2018
0,32,2794,1984,18,4414,2204,66.2,19,4089,1873,28,3943,1803,59.4,20.0,31.0,0.0,2018
0,18,2975,2027,28,3932,2325,69.6,16,3781,2021,26,3842,1811,51.3,20.0,17.0,1.0,2018
0,26,5008,1445,20,3646,1693,51.2,18,4955,1855,36,3515,1280,24.1,37.0,42.0,0.0,2018
0,30,3165,1622,21,4044,1898,79.2,23,2900,1738,16,3262,2479,62.0,12.0,20.0,0.0,2018
