date,home team,visiting team,home score,visiting score
,,,,
9-04-14,Seattle,GreenBay,36,16
9-07-14,Atlanta,NewOrleans,37,34
9-07-14,St.Louis,Minnesota,6,34
9-07-14,Pittsburgh,Cleveland,30,27
9-07-14,Philadelphia,Jacksonville,34,17
9-07-14,NYJets,Oakland,19,14
9-07-14,Baltimore,Cincinnati,16,23
9-07-14,Chicago,Buffalo,20,23
9-07-14,Houston,Washington,17,6
9-07-14,KansasCity,Tennessee,10,26
9-07-14,Miami,NewEngland,33,20
9-07-14,TampaBay,Carolina,14,20
9-07-14,Dallas,SanFrancisco,17,28
9-07-14,Denver,Indianapolis,31,24
9-08-14,Detroit,NYGiants,35,14
9-08-14,Arizona,SanDiego,18,17
9-11-14,Baltimore,Pittsburgh,26,6
9-14-14,Carolina,Detroit,24,7
9-14-14,Buffalo,Miami,29,10
9-14-14,Washington,Jacksonville,41,10
9-14-14,Tennessee,Dallas,10,26
9-14-14,NYGiants,Arizona,14,25
9-14-14,Minnesota,NewEngland,7,30
9-14-14,Cleveland,NewOrleans,26,24
9-14-14,Cincinnati,Atlanta,24,10
9-14-14,TampaBay,St.Louis,17,19
9-14-14,SanDiego,Seattle,30,21
9-14-14,Oakland,Houston,14,30
9-14-14,GreenBay,NYJets,31,24
9-14-14,Denver,KansasCity,24,17
9-14-14,SanFrancisco,Chicago,20,28
9-15-14,Indianapolis,Philadelphia,27,30
9-18-14,Atlanta,TampaBay,56,14
9-21-14,Buffalo,SanDiego,10,22
9-21-14,St.Louis,Dallas,31,34
9-21-14,Philadelphia,Washington,37,34
9-21-14,NYGiants,Houston,30,17
9-21-14,NewOrleans,Minnesota,20,9
9-21-14,Cincinnati,Tennessee,33,7
9-21-14,Cleveland,Baltimore,21,23
9-21-14,Detroit,GreenBay,19,7
9-21-14,Jacksonville,Indianapolis,17,44
9-21-14,NewEngland,Oakland,16,9
9-21-14,Arizona,SanFrancisco,23,14
9-21-14,Seattle,Denver,26,20
9-21-14,Miami,KansasCity,15,34
9-21-14,Carolina,Pittsburgh,19,37
9-22-14,NYJets,Chicago,19,27
9-25-14,Washington,NYGiants,14,45
9-28-14,Oakland,Miami,14,38
9-28-14,Chicago,GreenBay,17,38
9-28-14,Houston,Buffalo,23,17
9-28-14,Indianapolis,Tennessee,41,17
