,Team,Off Turnovers,Passing Yards,Rushing Yards,Def Turnovers,Passing Yards All,Rushing Yards All,QBR
2,Arizona,24,4616,1917,28,3976,1477,64.1
21,Atlanta,30,4379,1606,20,3786,2005,68.4
25,Baltimore,28,4271,1478,25,4114,1952,43.1
12,Buffalo,19,3343,2432,22,3642,1905,60
1,Carolina,19,3589,2282,23,3364,1304,76.4
23,Chicago,21,3663,1854,19,3789,1808,57.9
7,Cincinnati,17,3923,1805,33,3687,1460,72.5
30,Cleveland,30,3782,1529,28,4783,1942,57.2
31,Dallas,33,3471,1890,18,4291,1709,48.4
19,Denver,31,3970,1718,16,4000,2019,45.6
18,Detroit,24,4212,1335,12,4179,2020,28.9
15,GreenBay,17,3503,1850,25,3972,1730,51.4
22,Houston,20,3833,1731,25,4140,1678,66.8
24,Indianapolis,30,3704,1438,14,3737,1661,62
14,Jacksonville,28,4108,1473,23,3882,1680,52.4
9,KansasCity,15,3255,2044,30,3763,1335,50.5
26,LAChargers,24,4591,1358,23,3840,1606,39.2
29,LARams,22,2805,1956,21,4012,2055,68.6
17,LasVegas,24,3879,1457,27,4128,1962,57.3
27,Miami,19,3811,1496,19,3678,1797,72.8
16,Minnesota,17,2928,2211,11,3636,1931,61.1
3,NewEngland,14,4587,1404,29,3698,1571,50.8
8,NewOrleans,20,4970,1491,25,3366,1597,52.9
6,NYGiants,21,4347,1609,39,3752,1415,61
11,NYJets,24,4057,1868,30,4350,1459,58.3
13,Philadelphia,31,4087,1743,26,4065,1820,52.8
5,Pittsburgh,28,4603,1724,22,3762,1748,61.4
32,SanFrancisco,17,3316,1544,22,4544,2071,67.8
4,Seattle,16,3790,2268,27,3193,1337,66.3
20,TampaBay,28,3852,2162,17,3593,1934,57.7
28,Tennessee,33,3503,1485,26,4273,2153,43.7
10,Washington,22,4095,1566,21,3852,1578,54.9
