,date,home team,visiting team,home score,visiting score,Win Binary
0,9-08-16,Denver,Carolina,21,20,1.0
1,9-11-16,Atlanta,TampaBay,24,31,0.0
2,9-11-16,Tennessee,Minnesota,16,25,0.0
3,9-11-16,Philadelphia,Cleveland,29,10,1.0
4,9-11-16,NYJets,Cincinnati,22,23,0.0
5,9-11-16,NewOrleans,LasVegas,34,35,0.0
6,9-11-16,KansasCity,LAChargers,33,27,1.0
7,9-11-16,Baltimore,Buffalo,13,7,1.0
8,9-11-16,Houston,Chicago,23,14,1.0
9,9-11-16,Jacksonville,GreenBay,23,27,0.0
10,9-11-16,Seattle,Miami,12,10,1.0
11,9-11-16,Dallas,NYGiants,19,20,0.0
12,9-11-16,Indianapolis,Detroit,35,39,0.0
13,9-11-16,Arizona,NewEngland,21,23,0.0
14,9-12-16,Washington,Pittsburgh,16,38,0.0
15,9-12-16,SanFrancisco,LARams,28,0,1.0
16,9-15-16,Buffalo,NYJets,31,37,0.0
17,9-18-16,Detroit,Tennessee,15,16,0.0
18,9-18-16,Houston,KansasCity,19,12,1.0
19,9-18-16,NewEngland,Miami,31,24,1.0
20,9-18-16,Cleveland,Baltimore,20,25,0.0
21,9-18-16,Pittsburgh,Cincinnati,24,16,1.0
22,9-18-16,Washington,Dallas,23,27,0.0
23,9-18-16,NYGiants,NewOrleans,16,13,1.0
24,9-18-16,Carolina,SanFrancisco,46,27,1.0
25,9-18-16,Arizona,TampaBay,40,7,1.0
26,9-18-16,LARams,Seattle,9,3,1.0
27,9-18-16,Denver,Indianapolis,34,20,1.0
28,9-18-16,LasVegas,Atlanta,28,35,0.0
29,9-18-16,LAChargers,Jacksonville,38,14,1.0
30,9-18-16,Minnesota,GreenBay,17,14,1.0
31,9-19-16,Chicago,Philadelphia,14,29,0.0
32,9-22-16,NewEngland,Houston,27,0,1.0
33,9-25-16,Cincinnati,Denver,17,29,0.0
34,9-25-16,Tennessee,LasVegas,10,17,0.0
35,9-25-16,Buffalo,Arizona,33,18,1.0
36,9-25-16,Jacksonville,Baltimore,17,19,0.0
37,9-25-16,Miami,Cleveland,30,24,1.0
38,9-25-16,NYGiants,Washington,27,29,0.0
39,9-25-16,GreenBay,Detroit,34,27,1.0
40,9-25-16,Carolina,Minnesota,10,22,0.0
41,9-25-16,Seattle,SanFrancisco,37,18,1.0
42,9-25-16,TampaBay,LARams,32,37,0.0
43,9-25-16,Philadelphia,Pittsburgh,34,3,1.0
44,9-25-16,KansasCity,NYJets,24,3,1.0
45,9-25-16,Indianapolis,LAChargers,26,22,1.0
46,9-25-16,Dallas,Chicago,31,17,1.0
47,9-26-16,NewOrleans,Atlanta,32,45,0.0
48,9-29-16,Cincinnati,Miami,22,7,1.0
49,10-02-16,Jacksonville,Indianapolis,30,27,1.0
50,10-02-16,Washington,Cleveland,31,20,1.0
51,10-02-16,NewEngland,Buffalo,0,16,0.0
52,10-02-16,NYJets,Seattle,17,27,0.0
53,10-02-16,Atlanta,Carolina,48,33,1.0
54,10-02-16,Chicago,Detroit,17,14,1.0
55,10-02-16,Houston,Tennessee,27,20,1.0
56,10-02-16,Baltimore,LasVegas,27,28,0.0
57,10-02-16,TampaBay,Denver,7,27,0.0
58,10-02-16,SanFrancisco,Dallas,17,24,0.0
59,10-02-16,LAChargers,NewOrleans,34,35,0.0
60,10-02-16,Arizona,LARams,13,17,0.0
61,10-02-16,Pittsburgh,KansasCity,43,7,1.0
62,10-03-16,Minnesota,NYGiants,24,10,1.0
63,10-06-16,SanFrancisco,Arizona,21,33,0.0
64,10-09-16,Minnesota,Houston,31,13,1.0
65,10-09-16,Miami,Tennessee,17,30,0.0
66,10-09-16,Cleveland,NewEngland,13,33,0.0
67,10-09-16,Pittsburgh,NYJets,31,13,1.0
68,10-09-16,Baltimore,Washington,10,16,0.0
69,10-09-16,Detroit,Philadelphia,24,23,1.0
70,10-09-16,Indianapolis,Chicago,29,23,1.0
71,10-09-16,Denver,Atlanta,16,23,0.0
72,10-09-16,LARams,Buffalo,19,30,0.0
73,10-09-16,LasVegas,LAChargers,34,31,1.0
74,10-09-16,Dallas,Cincinnati,28,14,1.0
75,10-09-16,GreenBay,NYGiants,23,16,1.0
76,10-10-16,Carolina,TampaBay,14,17,0.0
77,10-13-16,LAChargers,Denver,21,13,1.0
78,10-16-16,NewEngland,Cincinnati,35,17,1.0
79,10-16-16,NYGiants,Baltimore,27,23,1.0
80,10-16-16,NewOrleans,Carolina,41,38,1.0
81,10-16-16,Miami,Pittsburgh,30,15,1.0
82,10-16-16,Chicago,Jacksonville,16,17,0.0
83,10-16-16,Buffalo,SanFrancisco,45,16,1.0
84,10-16-16,Detroit,LARams,31,28,1.0
85,10-16-16,Tennessee,Cleveland,28,26,1.0
86,10-16-16,Washington,Philadelphia,27,20,1.0
87,10-16-16,LasVegas,KansasCity,10,26,0.0
88,10-16-16,Seattle,Atlanta,26,24,1.0
89,10-16-16,GreenBay,Dallas,16,30,0.0
90,10-16-16,Houston,Indianapolis,26,23,1.0
91,10-17-16,Arizona,NYJets,28,3,1.0
92,10-20-16,GreenBay,Chicago,26,10,1.0
93,10-23-16,LARams,NYGiants,10,17,0.0
94,10-23-16,Philadelphia,Minnesota,21,10,1.0
95,10-23-16,KansasCity,NewOrleans,27,21,1.0
96,10-23-16,Detroit,Washington,20,17,1.0
97,10-23-16,Cincinnati,Cleveland,31,17,1.0
98,10-23-16,Miami,Buffalo,28,25,1.0
99,10-23-16,Jacksonville,LasVegas,16,33,0.0
100,10-23-16,Tennessee,Indianapolis,26,34,0.0
101,10-23-16,NYJets,Baltimore,24,16,1.0
102,10-23-16,Atlanta,LAChargers,30,33,0.0
103,10-23-16,SanFrancisco,TampaBay,17,34,0.0
104,10-23-16,Pittsburgh,NewEngland,16,27,0.0
105,10-23-16,Arizona,Seattle,6,6,0.5
106,10-24-16,Denver,Houston,27,9,1.0
107,10-27-16,Tennessee,Jacksonville,36,22,1.0
108,10-30-16,Cincinnati,Washington,27,27,0.5
109,10-30-16,Atlanta,GreenBay,33,32,1.0
110,10-30-16,Houston,Detroit,20,13,1.0
111,10-30-16,NewOrleans,Seattle,25,20,1.0
112,10-30-16,Buffalo,NewEngland,25,41,0.0
113,10-30-16,Cleveland,NYJets,28,31,0.0
114,10-30-16,TampaBay,LasVegas,24,30,0.0
115,10-30-16,Indianapolis,KansasCity,14,30,0.0
116,10-30-16,Denver,LAChargers,27,19,1.0
117,10-30-16,Carolina,Arizona,30,20,1.0
118,10-30-16,Dallas,Philadelphia,29,23,1.0
119,10-31-16,Chicago,Minnesota,20,10,1.0
120,11-03-16,TampaBay,Atlanta,28,43,0.0
121,11-06-16,KansasCity,Jacksonville,19,14,1.0
122,11-06-16,Minnesota,Detroit,16,22,0.0
123,11-06-16,NYGiants,Philadelphia,28,23,1.0
124,11-06-16,Cleveland,Dallas,10,35,0.0
125,11-06-16,Miami,NYJets,27,23,1.0
126,11-06-16,Baltimore,Pittsburgh,21,14,1.0
127,11-06-16,SanFrancisco,NewOrleans,23,41,0.0
128,11-06-16,LARams,Carolina,10,13,0.0
129,11-06-16,GreenBay,Indianapolis,26,31,0.0
130,11-06-16,LAChargers,Tennessee,43,35,1.0
131,11-06-16,LasVegas,Denver,30,20,1.0
132,11-07-16,Seattle,Buffalo,31,25,1.0
133,11-10-16,Baltimore,Cleveland,28,7,1.0
134,11-13-16,Jacksonville,Houston,21,24,0.0
135,11-13-16,Carolina,KansasCity,17,20,0.0
136,11-13-16,NewOrleans,Denver,23,25,0.0
137,11-13-16,NYJets,LARams,6,9,0.0
138,11-13-16,Philadelphia,Atlanta,24,15,1.0
139,11-13-16,Washington,Minnesota,26,20,1.0
140,11-13-16,Tennessee,GreenBay,47,25,1.0
