,Team,Off Turnovers,Passing Yards,Rushing Yards,Def Turnovers,Passing Yards All,Rushing Yards All,QBR
0,Arizona,28,2523,1342,16,3262,2479,24.1
1,Atlanta,18,4653,1573,19,4153,1999,65.7
2,Baltimore,20,3558,2441,17,3360,1327,54.8
3,Buffalo,32,2794,1984,27,2867,1839,49.8
4,Carolina,22,3836,2136,23,3847,1804,53.2
5,Chicago,24,3564,1938,36,3515,1280,71.0
6,Cincinnati,17,3290,1682,18,4414,2204,59.4
7,Cleveland,24,4007,1893,31,4125,2163,51.2
8,Dallas,17,3538,1963,20,3755,1513,55.2
9,Denver,21,3695,1907,28,3929,1913,44.5
10,Detroit,19,3576,1660,14,3599,1761,51.3
11,GreenBay,15,4238,1667,15,3752,1918,58.0
12,Houston,16,3781,2021,29,4167,1323,61.8
13,Indianapolis,24,4461,1718,26,3805,1630,69.6
14,Jacksonville,29,3109,1723,17,3113,1870,43.4
15,KansasCity,18,4955,1855,27,4374,2114,80.3
16,LAChargers,19,4089,1873,20,3646,1693,67.8
17,LARams,19,4507,2231,30,3780,1957,63.6
18,LasVegas,24,3751,1628,17,3853,2249,46.5
19,Miami,23,2900,1738,28,3932,2325,33.2
20,Minnesota,20,4036,1493,20,3140,1815,59.5
21,NYGiants,19,4047,1650,21,4044,1898,49.1
22,NYJets,30,3165,1622,20,4065,2021,45.9
23,NewEngland,18,4258,2037,28,3943,1803,68.4
24,NewOrleans,16,4042,2025,24,4302,1283,79.2
25,Philadelphia,23,4275,1570,17,4308,1551,62.0
26,Pittsburgh,26,5008,1445,15,3697,1538,69.6
27,SanFrancisco,32,3867,1902,7,3732,1814,51.7
28,Seattle,11,3093,2560,26,3842,1811,63.3
29,TampaBay,35,5125,1523,17,4151,1983,66.2
30,Tennessee,18,2975,2027,17,3471,1863,53.2
31,Washington,19,3021,1774,26,3794,1860,46.9
