Player,Tm,QBR
Kyler Murray,ARI,57.7
Matt Ryan,ATL,59.6
Lamar Jackson*+,BAL,83
Josh Allen,BUF,49.4
Kyle Allen,CAR,38.3
Mitchell Trubisky,CHI,41.5
Andy Dalton,CIN,42.1
Baker Mayfield,CLE,54.4
Dak Prescott,DAL,71.9
Joe Flacco,DEN,50.8
Matthew Stafford,DET,71.3
Aaron Rodgers *,GNB,52.5
Deshaun Watson *,HOU,70.5
Jacoby Brissett,IND,52.1
Gardner Minshew II,JAX,44.6
Patrick Mahomes *,KAN,77.7
Philip Rivers,LAC,50.5
Jared Goff,LAR,50.6
Derek Carr,LAS,64.1
Ryan Fitzpatrick,MIA,68.3
Kirk Cousins *,MIN,60.4
Tom Brady,NE,55.7
Drew Brees*,NO,73.3
Daniel Jones,NYG,55.7
Sam Darnold,NYJ,45.6
Carson Wentz,PHI,62.8
Mason Rudolph,PIT,36.2
Jimmy Garoppolo,SAN,60.8
Russell Wilson *,SEA,71.5
Jameis Winston,TAM,55.7
Ryan Tannehill*,TEN,64.2
Case Keenum,WAS,45.6
