,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,home score,visiting score,Win Binary,Year
0,12,4418,1889,33,2718,1860,67.1,11,4104,1903,34,3421,1780,32.4,27.0,42.0,0.0,2017
0,16,2825,2017,20,3749,1887,70.6,24,3182,1702,26,4169,1880,47.5,21.0,12.0,1.0,2017
0,22,2811,1788,15,3603,1768,61.9,18,3990,1847,26,3952,1890,59.2,17.0,23.0,0.0,2017
0,28,3278,1842,21,3828,1420,61.1,23,3593,2262,18,4020,1836,51.5,7.0,29.0,0.0,2017
0,27,3751,1448,14,3379,2046,65.1,20,3737,2115,27,3156,2098,46.7,17.0,30.0,0.0,2017
0,22,4183,1221,22,3217,1693,44.8,25,3640,1386,20,3764,1861,55.6,35.0,23.0,1.0,2017
0,25,3191,1833,21,3541,1432,50.5,28,3631,1554,17,3210,1430,62.5,16.0,26.0,0.0,2017
0,23,3122,1366,22,3789,1793,78.5,17,3030,1856,22,3376,1730,69.9,0.0,20.0,0.0,2017
0,41,3228,1714,16,3799,1747,56.0,20,4380,1667,16,3429,1665,32.6,18.0,21.0,0.0,2017
0,21,3831,1953,19,3078,1337,50.0,15,2892,1661,20,3946,1927,52.0,46.0,9.0,1.0,2017
0,25,3167,1724,32,3892,1800,72.8,17,3657,1629,21,3665,1409,65.2,17.0,9.0,1.0,2017
0,23,3925,1662,14,3858,1743,43.5,22,3077,2102,28,3475,1957,66.0,3.0,23.0,0.0,2017
0,22,3141,2170,25,3347,1824,43.3,22,3479,1549,13,3684,1566,58.6,19.0,3.0,1.0,2017
0,14,3753,1957,25,3597,1787,30.9,18,4189,2070,31,3637,1267,56.4,29.0,19.0,1.0,2017
0,34,3333,1852,19,4038,1933,66.6,15,4431,1595,21,3425,1664,83.5,24.0,21.0,1.0,2017
0,23,3122,1366,22,3789,1793,78.5,28,3278,1842,21,3828,1420,61.1,9.0,13.0,0.0,2017
0,23,3593,2262,18,4020,1836,51.5,25,3191,1833,21,3541,1432,50.5,16.0,37.0,0.0,2017
0,17,3030,1856,22,3376,1730,69.9,41,3228,1714,16,3799,1747,56.0,24.0,10.0,1.0,2017
0,22,3077,2102,28,3475,1957,66.0,16,2825,2017,20,3749,1887,70.6,9.0,3.0,1.0,2017
0,18,4189,2070,31,3637,1267,56.4,12,4418,1889,33,2718,1860,67.1,20.0,36.0,0.0,2017
0,15,2892,1661,20,3946,1927,52.0,25,3640,1386,20,3764,1861,55.6,13.0,16.0,0.0,2017
0,11,4104,1903,34,3421,1780,32.4,20,3737,2115,27,3156,2098,46.7,27.0,20.0,1.0,2017
0,20,4380,1667,16,3429,1665,32.6,14,3753,1957,25,3597,1787,30.9,26.0,9.0,1.0,2017
0,27,4366,1448,25,3688,1994,55.7,22,2811,1788,15,3603,1768,61.9,29.0,7.0,1.0,2017
0,15,4431,1595,21,3425,1664,83.5,29,3535,1388,23,3420,2146,35.4,17.0,19.0,0.0,2017
0,28,3631,1554,17,3210,1430,62.5,24,3182,1702,26,4169,1880,47.5,45.0,20.0,1.0,2017
0,21,3831,1953,19,3078,1337,50.0,27,3751,1448,14,3379,2046,65.1,20.0,27.0,0.0,2017
