,Team,Off Turnovers,Passing Yards,Rushing Yards,Def Turnovers,Passing Yards All,Rushing Yards All,QBR
0,Arizona,21,3916,2237,21,3623,2008,68.9
1,Atlanta,18,4363,1532,21,4697,1677,66.9
2,Baltimore,18,2739,3071,22,3536,1740,73.7
3,Buffalo,22,4620,1723,26,3726,1914,81.7
4,Carolina,21,3888,1704,22,3825,1936,64.1
5,Chicago,22,3655,1647,18,3705,1814,61.3
6,Cincinnati,24,3448,1668,17,3859,2368,56.2
7,Cleveland,16,3539,2374,21,3962,1773,72.2
8,Dallas,26,4161,1788,23,3642,2541,53.8
9,Denver,32,3451,1918,16,3807,2080,48.9
10,Detroit,21,4104,1499,12,4558,2158,68.4
11,GreenBay,11,4106,2118,18,3539,1805,84.3
12,Houston,18,4538,1466,9,4104,2564,70.5
13,Indianapolis,15,4053,1996,25,3866,1448,62.5
14,Jacksonville,25,3699,1519,17,4231,2452,51.7
15,KansasCity,16,4854,1799,22,3779,1954,82.9
16,LAChargers,16,4329,1784,19,3578,1917,69.6
17,LARams,25,4014,2018,22,3051,1460,58.4
18,LasVegas,26,4217,1916,15,4212,2013,71.0
19,Miami,20,3736,1688,29,4024,1862,76.9
20,Minnesota,23,4009,2283,22,4141,2151,63.2
21,NYGiants,22,3026,1768,22,3807,1782,61.4
22,NYJets,19,2796,1683,19,4409,1792,40.2
23,NewEngland,19,2890,2346,22,3557,2103,47.0
24,NewOrleans,17,3758,2265,26,3472,1502,74.5
25,Philadelphia,29,3327,2027,19,3798,2012,49.6
26,Pittsburgh,18,4003,1351,27,3110,1783,60.1
27,SanFrancisco,31,4033,1889,20,3327,1703,43.6
28,Seattle,18,3941,1971,22,4560,1529,73.5
29,TampaBay,17,4626,1519,25,3945,1289,72.6
30,Tennessee,12,3653,2690,23,4439,1933,78.3
31,Washington,27,3465,1611,23,3068,1805,34.8
